id,left,top,right,bottom,row_index,col_index,ID_1,x,y,버스이용량
581,965420.8765,1867240.6174,965520.8765,1867140.6174,25,15,31,127.1129288763,36.8022507275,7345
580,965420.8765,1867340.6174,965520.8765,1867240.6174,24,15,32,127.1129243395,36.8031521798,7345
585,965420.8765,1866840.6174,965520.8765,1866740.6174,29,15,33,127.1129470214,36.7986449167,0
584,965420.8765,1866940.6174,965520.8765,1866840.6174,28,15,34,127.1129424854,36.7995463696,0
639,965620.8765,1868840.6174,965720.8765,1868740.6174,9,17,35,127.1150986361,36.8166812278,67518
611,965520.8765,1867940.6174,965620.8765,1867840.6174,18,16,36,127.1140181824,36.8085645348,9355
610,965520.8765,1868040.6174,965620.8765,1867940.6174,17,16,37,127.1140136574,36.8094659863,0
609,965520.8765,1868140.6174,965620.8765,1868040.6174,16,16,38,127.1140091321,36.8103674377,0
608,965520.8765,1868240.6174,965620.8765,1868140.6174,15,16,39,127.1140046067,36.811268889,0
615,965520.8765,1867540.6174,965620.8765,1867440.6174,22,16,40,127.1140362806,36.8049587274,2528
614,965520.8765,1867640.6174,965620.8765,1867540.6174,21,16,41,127.1140317564,36.8058601795,6307
613,965520.8765,1867740.6174,965620.8765,1867640.6174,20,16,42,127.1140272319,36.8067616314,0
612,965520.8765,1867840.6174,965620.8765,1867740.6174,19,16,43,127.1140227073,36.8076630832,9355
619,965520.8765,1867140.6174,965620.8765,1867040.6174,26,16,44,127.1140543756,36.8013529178,27787
618,965520.8765,1867240.6174,965620.8765,1867140.6174,25,16,45,127.1140498521,36.8022543704,27787
617,965520.8765,1867340.6174,965620.8765,1867240.6174,24,16,46,127.1140453285,36.8031558229,0
616,965520.8765,1867440.6174,965620.8765,1867340.6174,23,16,47,127.1140408046,36.8040572752,0
620,965520.8765,1867040.6174,965620.8765,1866940.6174,27,16,48,127.1140588988,36.8004514651,0
531,965320.8765,1868540.6174,965420.8765,1868440.6174,12,14,49,127.1117487359,36.8139659422,0
530,965320.8765,1868640.6174,965420.8765,1868540.6174,11,14,50,127.1117441834,36.8148673927,42219
529,965320.8765,1868740.6174,965420.8765,1868640.6174,10,14,51,127.1117396306,36.815768843,42219
528,965320.8765,1868840.6174,965420.8765,1868740.6174,9,14,52,127.1117350777,36.8166702932,0
535,965320.8765,1868140.6174,965420.8765,1868040.6174,16,14,53,127.1117669441,36.8103601391,30522
534,965320.8765,1868240.6174,965420.8765,1868140.6174,15,14,54,127.1117623923,36.8112615901,60875
533,965320.8765,1868340.6174,965420.8765,1868240.6174,14,14,55,127.1117578404,36.8121630409,30353
532,965320.8765,1868440.6174,965420.8765,1868340.6174,13,14,56,127.1117532883,36.8130644917,0
539,965320.8765,1867740.6174,965420.8765,1867640.6174,20,14,57,127.111785149,36.8067543337,44112
538,965320.8765,1867840.6174,965420.8765,1867740.6174,19,14,58,127.1117805981,36.8076557853,23004
537,965320.8765,1867940.6174,965420.8765,1867840.6174,18,14,59,127.1117760469,36.8085572367,33233
536,965320.8765,1868040.6174,965420.8765,1867940.6174,17,14,60,127.1117714956,36.8094586879,0
543,965320.8765,1867340.6174,965420.8765,1867240.6174,24,14,61,127.1118033507,36.8031485262,7345
542,965320.8765,1867440.6174,965420.8765,1867340.6174,23,14,62,127.1117988006,36.8040499783,0
