ID_1,left,top,right,bottom,x,y,학교학원,poi,주택거주인구
371,964920.8765,1869040.617,965020.8765,1868940.617,127.1072411,36.81845846,5,19,275
374,964920.8765,1868540.617,965020.8765,1868440.617,127.1072642,36.81395122,31,54,285
375,964920.8765,1868640.617,965020.8765,1868540.617,127.1072595,36.81485267,13,30,564
376,964920.8765,1868740.617,965020.8765,1868640.617,127.1072549,36.81575412,5,26,643
382,964820.8765,1867240.617,964920.8765,1867140.617,127.106203,36.80222865,1,15,19
383,964820.8765,1867340.617,964920.8765,1867240.617,127.1061984,36.8031301,1,20,69
384,964820.8765,1867440.617,964920.8765,1867340.617,127.1061938,36.80403155,0,19,338
385,964820.8765,1867540.617,964920.8765,1867440.617,127.1061892,36.804933,8,23,313
387,964820.8765,1866940.617,964920.8765,1866840.617,127.1062169,36.79952429,0,19,27
388,964820.8765,1867040.617,964920.8765,1866940.617,127.1062123,36.80042574,0,28,32
389,964820.8765,1867140.617,964920.8765,1867040.617,127.1062076,36.8013272,0,19,92
391,964620.8765,1868240.617,964720.8765,1868140.617,127.1039146,36.81123571,1,30,492
392,964620.8765,1868340.617,964720.8765,1868240.617,127.10391,36.81213716,2,4,383
393,964620.8765,1868440.617,964720.8765,1868340.617,127.1039054,36.81303861,5,13,668
395,964620.8765,1867840.617,964720.8765,1867740.617,127.1039332,36.80762991,1,1,469
396,964620.8765,1867940.617,964720.8765,1867840.617,127.1039286,36.80853136,0,12,384
397,964620.8765,1868040.617,964720.8765,1867940.617,127.1039239,36.80943281,3,18,15
398,964620.8765,1868140.617,964720.8765,1868040.617,127.1039193,36.81033426,1,39,114
399,964620.8765,1867440.617,964720.8765,1867340.617,127.1039518,36.80402411,0,2,317
401,964620.8765,1867640.617,964720.8765,1867540.617,127.1039425,36.80582701,5,12,366
402,964620.8765,1867740.617,964720.8765,1867640.617,127.1039379,36.80672846,1,8,340
405,964620.8765,1867240.617,964720.8765,1867140.617,127.1039611,36.8022212,0,8,1025
406,964620.8765,1867340.617,964720.8765,1867240.617,127.1039564,36.80312265,0,4,819
407,964620.8765,1869440.617,964720.8765,1869340.617,127.1038589,36.8220531,1,1,512
408,964620.8765,1869540.617,964720.8765,1869440.617,127.1038543,36.82295455,0,5,217
409,964620.8765,1869640.617,964720.8765,1869540.617,127.1038496,36.823856,0,4,174
410,964620.8765,1869740.617,964720.8765,1869640.617,127.103845,36.82475745,0,0,302
411,964620.8765,1869040.617,964720.8765,1868940.617,127.1038775,36.81844731,1,5,584
412,964620.8765,1869140.617,964720.8765,1869040.617,127.1038728,36.81934876,2,3,366
413,964620.8765,1869240.617,964720.8765,1869140.617,127.1038682,36.82025021,1,0,380
414,964620.8765,1869340.617,964720.8765,1869240.617,127.1038636,36.82115165,1,0,383
419,964720.8765,1868740.617,964820.8765,1868640.617,127.1050126,36.81574669,1,8,367
420,964720.8765,1868840.617,964820.8765,1868740.617,127.105008,36.81664814,0,2,368
421,964720.8765,1868940.617,964820.8765,1868840.617,127.1050033,36.81754959,1,0,273
423,964720.8765,1868340.617,964820.8765,1868240.617,127.1050311,36.81214089,2,12,503
424,964720.8765,1868440.617,964820.8765,1868340.617,127.1050265,36.81304234,7,25,323
425,964720.8765,1868540.617,964820.8765,1868440.617,127.1050219,36.81394379,6,18,756
426,964720.8765,1868640.617,964820.8765,1868540.617,127.1050172,36.81484524,0,12,363
427,964720.8765,1867940.617,964820.8765,1867840.617,127.1050496,36.80853509,0,26,65
428,964720.8765,1868040.617,964820.8765,1867940.617,127.105045,36.80943654,1,34,132
429,964720.8765,1868140.617,964820.8765,1868040.617,127.1050404,36.81033799,0,36,151
430,964720.8765,1868240.617,964820.8765,1868140.617,127.1050358,36.81123944,1,16,300
431,964720.8765,1867540.617,964820.8765,1867440.617,127.1050682,36.80492929,17,20,334
433,964720.8765,1867740.617,964820.8765,1867640.617,127.1050589,36.80673219,16,33,356
434,964720.8765,1867840.617,964820.8765,1867740.617,127.1050543,36.80763364,12,20,334
